S.No,startup_name,industry,city,state,funding_requested,valuation_requested,received_offer,accepted_offer,funding_received,investors
1,BluePineFoods,Food and Beverage,Delhi,Delhi,50,1000,1,1,75,Ashneer Grover
2,BoozScooters,Vehicles/Electrical Vehicles,Ahmedabad,Gujarat,40,267,1,1,40,Ashneer Grover
3,HeartUpMySleeves,Beauty/Fashion,Delhi,Delhi,25,250,1,1,25,
4,TagzFoods,Food and Beverage,Bangalore,Karnataka,70,7000,1,1,70,Ashneer Grover
5,HeadAndHeart,Children/Education,Patiala,Punjab,50,1000,0,,,
6,Agritourism,Agriculture,Baramati,Maharashtra,50,1000,0,,,
7,qZenseLabs,Food and Beverage,"Delhi,Mohali","Delhi,Punjab",100,40000,1,0,,
8,Peeschute,Beauty/Fashion,Jalna,Maharashtra,75,1875,1,1,75,
9,NOCD,Food and Beverage,Bangalore,Karnataka,50,2500,1,1,20,
10,CosIQ,Beauty/Fashion,Delhi,Delhi,50,667,1,1,50,
11,JhaJiAchaar,Food and Beverage,Darbhanga,Bihar,50,500,1,1,56.6,
12,Bummer,Beauty/Fashion,Ahmedabad,Gujarat,75,1875,1,1,75,
13,RevampMoto,Vehicles/Electrical Vehicles,Nashik,Maharashtra,100,10000,1,1,100,
14,HungryHead,Food and Beverage,Mumbai,Maharashtra,50,1000,0,,,
15,ShrawaniEngineers,Beauty/Fashion,Nagpur,Maharashtra,20,200,0,,,
16,SkippiIcePops,Food and Beverage,Hyderabad,Telangana,45,900,1,1,100,Ashneer Grover
17,Menstrupedia,Children/Education,Ahmedabad,Gujarat,50,500,1,1,50,
18,Hecoll,Beauty/Fashion,Hyderabad,Telangana,100,10000,0,,,
19,RaisingSuperstars,Children/Education,Gurgaon,Haryana,100,5000,1,1,100,Ashneer Grover
20,Torch-it,Children/Education,Ahmedabad,Gujarat,75,7500,1,0,,
21,Kavach,Children/Education,Gurgaon,Haryana,5,50,1,1,5,
22,LaKheerDeli,Food and Beverage,Pune,Maharashtra,50,667,1,0,,
23,BeyondSnack,Food and Beverage,Thiruvananthapuram,Kerala,50,2000,1,1,50,Ashneer Grover
24,VivalyfInnovations,Medical/Health,Hyderabad,Telangana,56,747,1,1,56,
25,MotionBreeze,Vehicles/Electrical Vehicles,Vadodara,Gujarat,30,1000,1,1,30,Ashneer Grover
26,Altor,Manufacturing,Kolkata,West Bengal,50,1000,1,1,50,
27,Ariro,Manufacturing,Chennai,Tamil Nadu,50,2000,1,1,50,
28,KabiraHandmad,Food and Beverage,Jaipur,Rajasthan,100,2000,1,0,,
29,Nuutjob,Beauty/Fashion,Ahmedabad,Gujarat,25,500,1,1,25,
30,Meatyour,Food and Beverage,Pune,Maharashtra,30,600,1,1,30,
31,EventBeep,Children/Education,Pune,Maharashtra,30,1500,1,1,30,Ashneer Grover
32,Gopal's56,Food and Beverage,Delhi,Delhi,30000,120000,0,,,
33,ARRCOATSurfaceTextures,Manufacturing,Delhi,Delhi,50,1000,1,1,50,
34,Farda,Beauty/Fashion,Nagpur,Maharashtra,30,300,1,1,30,
35,Auli,Beauty/Fashion,Kolkata,West Bengal,75,1875,1,1,75,
36,SweeDesi,Food and Beverage,Pune,Maharashtra,40,1333,0,,,
37,LOKA,Technology/Software,Delhi,Delhi,40,800,1,1,40,
38,Annie,Children/Education,Bangalore,Karnataka,30,6000,1,1,105,
39,Carragreen,Green/CleanTech,Indore,Madhya Pradesh,50,500,1,1,50,
40,TheYarnBazaar,Manufacturing,Mumbai,Maharashtra,50,2500,1,1,100,Ashneer Grover
41,TheRenalProject,Medical/Health,Mumbai,Maharashtra,100,3333,1,1,100,
42,MorrikoPureFoods,Food and Beverage,Valsad,Gujarat,100,3333,1,0,,
43,GoodGoodPiggy,Technology/Software,Delhi,Delhi,45,900,0,,,
44,HammerLifestyle,Electronics,Panipat,Haryana,30,1000,1,1,100,
45,PNTRobotics,Technology/Software,Mumbai,Maharashtra,50,1250,1,1,25,
46,Cocofit,Food and Beverage,Hyderabad,Telangana,5.00E-05,0,1,1,5.00E-05,
47,BambooIndia,Manufacturing,Pune,Maharashtra,80,2000,1,1,50,Ashneer Grover
48,FlyingFur,Animal/Pets,Delhi,Delhi,75,1071,0,,,
49,BeyondWater,Food and Beverage,Kolkata,West Bengal,75,1875,1,1,75,
50,Let'sTry,Food and Beverage,Delhi,Delhi,45,2250,1,1,45,
51,FindYourKicksIndia,Beauty/Fashion,Ludhiana,Punjab,50,500,1,1,50,Ashneer Grover
52,AasVidyalaya,Children/Education,Mumbai,Maharashtra,150,5000,1,1,150,Ashneer Grover
53,Outbox,Business Services,Kolkata,West Bengal,50,1000,0,,,
54,RoadBounce,Technology/Software,Pune,Maharashtra,80,800,1,1,80,
55,Mommy'sKitchen,Food and Beverage,Mumbai,Maharashtra,90,3000,0,,,
56,IndiaHempandCo,Food and Beverage,Bangalore,Karnataka,50,1250,1,0,,
57,Otua,Vehicles/Electrical Vehicles,Gurgaon,Haryana,100,10000,1,1,1,Ashneer Grover
58,Anthyesti,Business Services,Bangalore,Karnataka,50,2000,0,,,
59,Ethik,Manufacturing,Bangalore,Karnataka,15,300,0,,,
60,WeSTOCK,Animal/Pets,Ernakulam,Kerala,50,1000,1,1,60,Ashneer Grover
61,KetoIndia,Food and Beverage,Delhi,Delhi,150,12000,1,0,,
62,Magiclock,Hardware,Mumbai,Maharashtra,120,1500,0,,,
63,TheStatePlate,Food and Beverage,"Bangalore,Kolkata","Karnataka,West Bengal",65,3250,1,1,40,
64,Bakarmax,Technology/Software,Delhi,Delhi,35,700,0,,,
